Topic Index,Word1,Word2,Word3,Word4,Word5
0,"0.030*""father"" "," 0.023*""grunting"" "," 0.021*""ivar"" "," 0.021*""in"" "," 0.020*""man"" "
1,"0.035*""♪"" "," 0.023*""ragnar"" "," 0.018*""gods"" "," 0.017*""king"" "," 0.015*""brother"" "
2,"0.028*""playing"" "," 0.027*""music"" "," 0.023*""sighs"" "," 0.020*""laughing"" "," 0.016*""mother"" "
