Topic Index,Word1,Word2,Word3,Word4,Word5
0,"0.029*""king"" "," 0.025*""gods"" "," 0.017*""sighs"" "," 0.015*""bjorn"" "," 0.014*""people"" "
1,"0.028*""father"" "," 0.021*""god"" "," 0.017*""ragnar"" "," 0.017*""men"" "," 0.014*""lagertha"" "
2,"0.029*""♪"" "," 0.028*""grunts"" "," 0.025*""music"" "," 0.024*""playing"" "," 0.023*""ivar"" "
