Topic Index,Word1,Word2,Word3,Word4,Word5
0,"0.024*""brother"" "," 0.023*""grunts"" "," 0.020*""alfred"" "," 0.018*""sighs"" "," 0.015*""men"" "
1,"0.034*""king"" "," 0.027*""music"" "," 0.027*""playing"" "," 0.019*""in"" "," 0.016*""♪"" "
2,"0.025*""gods"" "," 0.024*""father"" "," 0.022*""ivar"" "," 0.020*""grunting"" "," 0.019*""]"" "
