Topic Index,Word1,Word2,Word3,Word4,Word5
0,"0.026*""tongue"" "," 0.021*""god"" "," 0.021*""man"" "," 0.021*""father"" "," 0.018*""son"" "
1,"0.041*""ragnar"" "," 0.018*""gods"" "," 0.017*""king"" "," 0.017*""lord"" "," 0.016*""grunts"" "
2,"0.032*""♪"" "," 0.020*""athelstan"" "," 0.018*""city"" "," 0.017*""floki"" "," 0.016*""grunting"" "
