Topic Index,Word1,Word2,Word3,Word4,Word5
0,"0.043*""ragnar"" "," 0.019*""king"" "," 0.019*""footsteps"" "," 0.015*""son"" "," 0.014*""horik"" "
1,"0.043*""♪"" "," 0.019*""water"" "," 0.019*""chatter"" "," 0.015*""father"" "," 0.013*""brother"" "
2,"0.036*""grunts"" "," 0.025*""gods"" "," 0.020*""weapons"" "," 0.016*""clank"" "," 0.015*""ungh"" "
