Name,Religion,Gender,Words
Ragnar Lothbrok,Viking,male,7619
Lagertha,Viking,female,2211
Rollo,Viking,male,2500
Siggy,Viking,female,1728
Floki,Viking,male,1755
Earl Haraldson,Viking,male,1884
Athelstan,Christian,male,2181
King Horik of Denmark,Viking,male,595
Aslaug,Viking,female,96
King Ecbert of Wessex,Christian,male,0
Bjorn Ironside,Viking,male,1171
Kalf,Viking,male,0
Harbard,Viking,male,0
Emperor Charles of West Francia,Christian,male,0
The Seer,Viking,male,838
King Harald Finehair,Viking,male,0
Halfdan the Black,Viking,male,0
Ivar the Boneless,Viking,male,0
Hvitserk,Viking,male,0
Sigurd Snake-in-the-Eye,Viking,male,0
Ubbe,Viking,male,0
Aethelwulf,Christian,male,44
Bishop Heahmund,Christian,male,0
Oleg the Prophet,Christian,male,0
Erik the Red,Viking,male,396
Torvi,Viking,female,0
Gunnhild,Viking,female,0
