Name,Religion,Gender,Words
Ragnar Lothbrok,Viking,male,2514
Lagertha,Viking,female,1748
Rollo,Viking,male,1788
Siggy,Viking,female,1822
Floki,Viking,male,3667
Earl Haraldson,Viking,male,0
Athelstan,Christian,male,1327
King Horik of Denmark,Viking,male,0
Aslaug,Viking,female,958
King Ecbert of Wessex,Christian,male,1430
Bjorn Ironside,Viking,male,3005
Kalf,Viking,male,1766
Harbard,Viking,male,578
Emperor Charles of West Francia,Christian,male,399
The Seer,Viking,male,945
King Harald Finehair,Viking,male,0
Halfdan the Black,Viking,male,0
Ivar the Boneless,Viking,male,0
Hvitserk,Viking,male,0
Sigurd Snake-in-the-Eye,Viking,male,0
Ubbe,Viking,male,0
Aethelwulf,Christian,male,1122
Bishop Heahmund,Christian,male,0
Oleg the Prophet,Christian,male,0
Erik the Red,Viking,male,0
Torvi,Viking,female,0
Gunnhild,Viking,female,0
