Name,Religion,Gender,Words
Ragnar Lothbrok,Viking,male,7146
Lagertha,Viking,female,5340
Rollo,Viking,male,620
Siggy,Viking,female,0
Floki,Viking,male,857
Earl Haraldson,Viking,male,1954
Athelstan,Christian,male,205
King Horik of Denmark,Viking,male,0
Aslaug,Viking,female,2781
King Ecbert of Wessex,Christian,male,4794
Bjorn Ironside,Viking,male,5050
Kalf,Viking,male,1510
Harbard,Viking,male,0
Emperor Charles of West Francia,Christian,male,870
The Seer,Viking,male,1180
King Harald Finehair,Viking,male,2071
Halfdan the Black,Viking,male,1350
Ivar the Boneless,Viking,male,2105
Hvitserk,Viking,male,837
Sigurd Snake-in-the-Eye,Viking,male,323
Ubbe,Viking,male,3199
Aethelwulf,Christian,male,2373
Bishop Heahmund,Christian,male,120
Oleg the Prophet,Christian,male,0
Erik the Red,Viking,male,0
Torvi,Viking,female,22
Gunnhild,Viking,female,0
