Name,Religion,Gender,Words
Ragnar Lothbrok,Viking,male,3810
Lagertha,Viking,female,1800
Rollo,Viking,male,1911
Siggy,Viking,female,1354
Floki,Viking,male,2186
Earl Haraldson,Viking,male,8
Athelstan,Christian,male,1667
King Horik of Denmark,Viking,male,4393
Aslaug,Viking,female,1709
King Ecbert of Wessex,Christian,male,3009
Bjorn Ironside,Viking,male,2406
Kalf,Viking,male,0
Harbard,Viking,male,0
Emperor Charles of West Francia,Christian,male,0
The Seer,Viking,male,985
King Harald Finehair,Viking,male,0
Halfdan the Black,Viking,male,0
Ivar the Boneless,Viking,male,0
Hvitserk,Viking,male,61
Sigurd Snake-in-the-Eye,Viking,male,0
Ubbe,Viking,male,121
Aethelwulf,Christian,male,361
Bishop Heahmund,Christian,male,218
Oleg the Prophet,Christian,male,0
Erik the Red,Viking,male,59
Torvi,Viking,female,21
Gunnhild,Viking,female,122
